n,algoritmo,repetición,distancia,tiempo_segundos
20,SAVINGS,6,374.5041760050024,0.004518270492553711
20,SAVINGS,7,402.5292715237732,0.004379749298095703
20,SAVINGS,8,352.7252563455661,0.004727602005004883
20,SAVINGS,9,358.3108794119757,0.004274845123291016
20,SAVINGS,10,392.5667328038604,0.004747629165649414
20,CHRISTOFIDES,1,463.9325239745803,0.004289388656616211
20,CHRISTOFIDES,2,382.8049829373712,0.003698110580444336
20,CHRISTOFIDES,3,334.1825367099917,0.004538297653198242
20,CHRISTOFIDES,4,430.9533721071541,0.00467681884765625
20,CHRISTOFIDES,5,411.5197330050974,0.004261970520019531
20,CHRISTOFIDES,6,434.36979848441894,0.005769491195678711
20,CHRISTOFIDES,7,437.86527006031764,0.0043337345123291016
20,CHRISTOFIDES,8,392.71061707547096,0.004537343978881836
20,CHRISTOFIDES,9,357.5980743349282,0.004117250442504883
20,CHRISTOFIDES,10,407.9320176300468,0.003875255584716797
25,PATH_CHEAPEST_ARC,1,403.99830507128826,0.008810997009277344
25,PATH_CHEAPEST_ARC,2,411.4618062753012,0.0069696903228759766
25,PATH_CHEAPEST_ARC,3,398.6867010351162,0.007364749908447266
25,PATH_CHEAPEST_ARC,4,405.76064069727556,0.006483554840087891
25,PATH_CHEAPEST_ARC,5,414.11739310603815,0.008492231369018555
25,PATH_CHEAPEST_ARC,6,400.98577256993724,0.007050037384033203
25,PATH_CHEAPEST_ARC,7,425.4476540783399,0.006520509719848633
25,PATH_CHEAPEST_ARC,8,403.3863427295498,0.005722761154174805
25,PATH_CHEAPEST_ARC,9,380.38316883363115,0.006096839904785156
25,PATH_CHEAPEST_ARC,10,392.2848918114421,0.008459091186523438
25,SAVINGS,1,419.64094425560654,0.006590604782104492
25,SAVINGS,2,415.9814983427691,0.007881641387939453
25,SAVINGS,3,401.506334919664,0.00617218017578125
25,SAVINGS,4,446.6087582599791,0.0063822269439697266
25,SAVINGS,5,428.2770589989504,0.008655071258544922
25,SAVINGS,6,466.21382384224114,0.006422996520996094
25,SAVINGS,7,451.5590460028447,0.00735783576965332
25,SAVINGS,8,448.95287857039136,0.006890773773193359
25,SAVINGS,9,413.86717247011876,0.006314992904663086
25,SAVINGS,10,427.5256139594013,0.00779271125793457
25,CHRISTOFIDES,1,370.1387356216935,0.007383108139038086
25,CHRISTOFIDES,2,492.3341655139241,0.005845546722412109
25,CHRISTOFIDES,3,418.9201739135272,0.006335258483886719
25,CHRISTOFIDES,4,406.3491776120092,0.007745504379272461
25,CHRISTOFIDES,5,425.5982744527247,0.005566596984863281
25,CHRISTOFIDES,6,437.44817907363847,0.006821155548095703
25,CHRISTOFIDES,7,413.7517795660026,0.006409168243408203
25,CHRISTOFIDES,8,434.69231194457865,0.006863117218017578
25,CHRISTOFIDES,9,392.1740618194713,0.0057621002197265625
25,CHRISTOFIDES,10,460.6174053492366,0.006604909896850586
30,PATH_CHEAPEST_ARC,1,487.4316527436909,0.011460065841674805
30,PATH_CHEAPEST_ARC,2,476.3378700292488,0.011132240295410156
30,PATH_CHEAPEST_ARC,3,429.5115349824288,0.009491443634033203
30,PATH_CHEAPEST_ARC,4,504.0845814280134,0.012250423431396484
30,PATH_CHEAPEST_ARC,5,461.63184567100734,0.008865594863891602
30,PATH_CHEAPEST_ARC,6,443.0064510989988,0.008173465728759766
30,PATH_CHEAPEST_ARC,7,457.79601048133344,0.010890722274780273
30,PATH_CHEAPEST_ARC,8,445.63568346078097,0.010290145874023438
30,PATH_CHEAPEST_ARC,9,534.953552173458,0.008166074752807617
30,PATH_CHEAPEST_ARC,10,479.2543955952547,0.01135706901550293
30,SAVINGS,1,434.47694110878905,0.010109901428222656
30,SAVINGS,2,455.1963063553584,0.011867523193359375
30,SAVINGS,3,461.9675708065868,0.010744333267211914
30,SAVINGS,4,497.6638440574315,0.011597633361816406
30,SAVINGS,5,420.0498371313405,0.011733531951904297
30,SAVINGS,6,526.029160889698,0.010303497314453125
30,SAVINGS,7,464.54169209610336,0.01411890983581543
30,SAVINGS,8,448.0705227820036,0.01022481918334961
30,SAVINGS,9,492.9749241873793,0.010380029678344727
30,SAVINGS,10,411.2390058692147,0.008481502532958984
30,CHRISTOFIDES,1,441.9194340989811,0.007664680480957031
30,CHRISTOFIDES,2,456.04385131563185,0.008878231048583984
